"COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","SITE","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Bleaching_Period","Survey_Type"
5,10.9728,60,"TUT-223",2,-14.35909,-170.785248,"2025","Q20","Post-Bleaching","60m"
22.5,10.9728,60,"TUT-223",0,-14.35909,-170.785248,"2025","QMED","Post-Bleaching","60m"
32.5,14.6304,60,"TUT-098",8,-14.314128,-170.652116,"2025","QMED","Post-Bleaching","60m"
NA,14.3256,60,"TUT-224",NA,-14.249692,-170.630235,"2025",NA,"Post-Bleaching","60m"
NA,14.3256,60,"TUT-224",NA,-14.249692,-170.630235,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-211",5,-14.360358,-170.748776,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",5,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",70,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",60,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",1,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",10,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",50,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",0,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",15,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",90,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",0,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",0,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",10,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",60,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",50,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,13.716,60,"TUT-212",0,-14.338095,-170.793296,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",60,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",3,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",65,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",5,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",20,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",80,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",15,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",0,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",0,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",5,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",90,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",65,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",0,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",0,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",20,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",3,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",20,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",5,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",3,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",5,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",5,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
NA,9.144,60,"TUT-213",50,-14.329327,-170.83181,"2025",NA,"Post-Bleaching","60m"
